,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,IzRINfSLBr6k_dq1e2WNew,guelaguetza-restaurante-los-angeles,Guelaguetza Restaurante,https://s3-media4.fl.yelpcdn.com/bphoto/c-az5vP40mikzkENZwC_fA/o.jpg,False,https://www.yelp.com/biz/guelaguetza-restaurante-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2440,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['pickup', 'delivery']",$$,+12134270608,(213) 427-0608,2164.0883173918323,34.05241,-118.30071,3014 W Olympic Blvd,,,Los Angeles,90006,US,CA,"['3014 W Olympic Blvd', 'Los Angeles, CA 90006']"
1,Osce6shPInsQLAhtJEJnng,el-zarape-los-angeles-2,El Zarape,https://s3-media4.fl.yelpcdn.com/bphoto/dU5Z9QTMh-M26YK7G3p5oQ/o.jpg,False,https://www.yelp.com/biz/el-zarape-los-angeles-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,743,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['pickup', 'delivery']",$,+13237410465,(323) 741-0465,4129.4823107853845,34.09544,-118.30256,5203 Fountain Ave,Ste B,,Los Angeles,90029,US,CA,"['5203 Fountain Ave', 'Ste B', 'Los Angeles, CA 90029']"
2,Lop79P2KM9zFUCCaBYz6zA,tlayuda-l-a-restaurant-los-angeles-6,Tlayuda L.A. Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/x4dXJMcPikwTFgSQh6tZsQ/o.jpg,False,https://www.yelp.com/biz/tlayuda-l-a-restaurant-los-angeles-6?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,763,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['pickup', 'delivery']",$$,+13239635045,(323) 963-5045,3458.2073511243375,34.0906351,-118.307928,5450 Santa Monica Blvd,,,Los Angeles,90029,US,CA,"['5450 Santa Monica Blvd', 'Los Angeles, CA 90029']"
3,MSVqTBMGU1vqM9j-SzPq6A,dalia-cocina-mexicana-los-angeles,Dalia Cocina Mexicana,https://s3-media4.fl.yelpcdn.com/bphoto/DKuYtvtx6paJthL36mO-DQ/o.jpg,False,https://www.yelp.com/biz/dalia-cocina-mexicana-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,143,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",5.0,"['pickup', 'delivery', 'restaurant_reservation']",$$,+12132668553,(213) 266-8553,7148.493057196714,34.051,-118.24501,108 W 2nd St,Unit 102,,Los Angeles,90012,US,CA,"['108 W 2nd St', 'Unit 102', 'Los Angeles, CA 90012']"
4,zpCjv61s-5b-WJSd8opFvA,candela-los-angeles,Candela,https://s3-media2.fl.yelpcdn.com/bphoto/ZyeDdrJ4wXKRCMeiyAgKdA/o.jpg,False,https://www.yelp.com/biz/candela-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,707,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",4.0,"['restaurant_reservation', 'pickup', 'delivery']",$$,+13239360533,(323) 936-0533,2224.4893910572396,34.0596284,-118.3451919,831 S La Brea Ave,,,Los Angeles,90036,US,CA,"['831 S La Brea Ave', 'Los Angeles, CA 90036']"
5,BDRVlHnK4l0T0ANb7M-Eqg,guisados-los-angeles-3,Guisados,https://s3-media4.fl.yelpcdn.com/bphoto/fRSFc5v0r6DdGl5rWkIU4Q/o.jpg,False,https://www.yelp.com/biz/guisados-los-angeles-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2232,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['pickup', 'delivery']",$$,+12132507600,(213) 250-7600,6604.197846892978,34.0702395145121,-118.250448424643,1261 W Sunset Blvd,,,Los Angeles,90026,US,CA,"['1261 W Sunset Blvd', 'Los Angeles, CA 90026']"
6,Pb9KCJOvzfE20vRmOGtOrg,el-coyote-mexican-cafe-los-angeles,El Coyote Mexican Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/pUcEe65LJ_G4Yt0qMMJSEQ/o.jpg,False,https://www.yelp.com/biz/el-coyote-mexican-cafe-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1891,"[{'alias': 'mexican', 'title': 'Mexican'}]",3.5,['delivery'],$$,+13239392255,(323) 939-2255,3019.3944706734987,34.0758743286133,-118.349220275879,7312 Beverly Blvd,,,Los Angeles,90036,US,CA,"['7312 Beverly Blvd', 'Los Angeles, CA 90036']"
7,kr9RZATtNwJznY9TaMexUA,tekila-los-angeles,Te'Kila,https://s3-media3.fl.yelpcdn.com/bphoto/qOUu4vWhAjBGcWfSufhpeg/o.jpg,False,https://www.yelp.com/biz/tekila-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1076,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['pickup', 'delivery']",$$,+13239602404,(323) 960-2404,4584.2292104727885,34.101795,-118.3323928,6541 Hollywood Blvd,,,Los Angeles,90028,US,CA,"['6541 Hollywood Blvd', 'Los Angeles, CA 90028']"
8,6Dd4kTDiikEB3wQp___0fA,taqueria-los-anaya-los-angeles,Taqueria Los Anaya,https://s3-media1.fl.yelpcdn.com/bphoto/9ovvEX4dvjghsNqwYRSyQg/o.jpg,False,https://www.yelp.com/biz/taqueria-los-anaya-los-angeles?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1297,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,[],$$,+13237314070,(323) 731-4070,3720.848506858027,34.0327911,-118.3417282,4651 W Adams Blvd,,,Los Angeles,90016,US,CA,"['4651 W Adams Blvd', 'Los Angeles, CA 90016']"
9,MjWMuWJNlxNXr-KmAXL8KQ,madre-oaxacan-restaurant-and-mezcaleria-los-angeles-6,Madre Oaxacan Restaurant and Mezcaleria,https://s3-media1.fl.yelpcdn.com/bphoto/cmG8JV-59OwOSG-sU5aHsg/o.jpg,False,https://www.yelp.com/biz/madre-oaxacan-restaurant-and-mezcaleria-los-angeles-6?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,925,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['pickup', 'delivery']",$$,,,9052.659394031836,34.0287002,-118.4114403,10426 National Blvd,,,Los Angeles,90034,US,CA,"['10426 National Blvd', 'Los Angeles, CA 90034']"
