,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,price
0,0qMYBzJUjXa8_MIm5mkjKA,el-viejón-seafood-san-diego,El Viejón Seafood,https://s3-media1.fl.yelpcdn.com/bphoto/1p5RxMaXo8nI6TyQi1jiWQ/o.jpg,False,https://www.yelp.com/biz/el-viej%C3%B3n-seafood-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,34,"[{'alias': 'seafood', 'title': 'Seafood'}]",5.0,"['delivery', 'pickup']",+18587379192,(858) 737-9192,3766.6312907295464,32.82443848417913,-117.15478099999996,4619 Convoy St,Ste A3,,San Diego,92111,US,CA,"['4619 Convoy St', 'Ste A3', 'San Diego, CA 92111']",
1,8gtS-ugNXvM90hZgqjIWiw,lolitas-mexican-food-san-diego-5,Lolita's Mexican Food,https://s3-media1.fl.yelpcdn.com/bphoto/1j_X0AKF60gCZZKPTcv2_Q/o.jpg,False,https://www.yelp.com/biz/lolitas-mexican-food-san-diego-5?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2519,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],+18588747983,(858) 874-7983,4676.0410374419325,32.832264,-117.160599,7305 Clairemont Mesa Blvd,Ste A,,San Diego,92111,US,CA,"['7305 Clairemont Mesa Blvd', 'Ste A', 'San Diego, CA 92111']",$
2,mzLGnmpwtrIgUeplJtmOOw,la-puerta-san-diego,La Puerta,https://s3-media4.fl.yelpcdn.com/bphoto/V6hDC1Ci7AYtUMFi-Loqdg/o.jpg,False,https://www.yelp.com/biz/la-puerta-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3907,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['delivery', 'pickup']",+16196963466,(619) 696-3466,8853.637819078784,32.7110023498535,-117.161323547363,560 4th Ave,,,San Diego,92101,US,CA,"['560 4th Ave', 'San Diego, CA 92101']",$$
3,B52EkpFK0GVtiJd17qokzA,las-panchitas-fresh-mexican-grill-san-diego-2,Las Panchitas Fresh Mexican Grill,https://s3-media4.fl.yelpcdn.com/bphoto/pDVaupHHtX6-HB9X6RXnpQ/o.jpg,False,https://www.yelp.com/biz/las-panchitas-fresh-mexican-grill-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,223,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['delivery', 'pickup']",+18588746710,(858) 874-6710,2055.6618417200316,32.80825,-117.16059,3542 Ashford St,,,San Diego,92111,US,CA,"['3542 Ashford St', 'San Diego, CA 92111']",$
4,fMWoLTioV_ttwKX90bSL1Q,cocina-35-san-diego,Cocina 35,https://s3-media1.fl.yelpcdn.com/bphoto/H9W5Tg14pPXXVMVNmmdIpA/o.jpg,False,https://www.yelp.com/biz/cocina-35-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1259,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,"['delivery', 'pickup']",+16194315611,(619) 431-5611,7828.719583186959,32.720293134710396,-117.15915240209036,1435 6th Ave,,,San Diego,92101,US,CA,"['1435 6th Ave', 'San Diego, CA 92101']",$$
5,O4r43qZXZu4BR6xHKxUsxw,casa-machado-san-diego-2,Casa Machado,https://s3-media2.fl.yelpcdn.com/bphoto/MFTWfyCdhYV3L3fxIfwX1Q/o.jpg,False,https://www.yelp.com/biz/casa-machado-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,405,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+18582924716,(858) 292-4716,2739.0799053032038,32.8127463641505,-117.141326581159,3750 John J Montgomery Dr,,,San Diego,92123,US,CA,"['3750 John J Montgomery Dr', 'San Diego, CA 92123']",$$
6,48IFYYRKXAlCn1JbCV3_bA,king-and-queen-cantina-san-diego,King & Queen Cantina,https://s3-media1.fl.yelpcdn.com/bphoto/EVVU4m3R1o6yWrLJVdu0Ng/o.jpg,False,https://www.yelp.com/biz/king-and-queen-cantina-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3155,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",4.5,"['delivery', 'pickup']",+16197567864,(619) 756-7864,7894.462979138204,32.720739304308594,-117.16932430783876,1490 Kettner Blvd,,,San Diego,92101,US,CA,"['1490 Kettner Blvd', 'San Diego, CA 92101']",$$
7,L2YgRsIyK-26DvBN9PUdhA,cocina-de-barrio-san-diego-4,Cocina De Barrio,https://s3-media1.fl.yelpcdn.com/bphoto/xMTvhxKRHJGrPs1_7q-woA/o.jpg,False,https://www.yelp.com/biz/cocina-de-barrio-san-diego-4?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,43,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,['restaurant_reservation'],+16192226600,(619) 222-6600,7376.305264155068,32.75541672504218,-117.2209905,3924 W Point Loma Blvd,,,San Diego,92110,US,CA,"['3924 W Point Loma Blvd', 'San Diego, CA 92110']",$$
8,43BHmEbS7eBRxC7MFnqv7Q,las-cuatro-milpas-san-diego-2,Las Cuatro Milpas,https://s3-media4.fl.yelpcdn.com/bphoto/FO2K895XPJQ2JmRekZEuBA/o.jpg,False,https://www.yelp.com/biz/las-cuatro-milpas-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2256,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.5,[],,,9893.033962715792,32.701918,-117.145135,1857 Logan Ave,,,San Diego,92113,US,CA,"['1857 Logan Ave', 'San Diego, CA 92113']",$
9,xsm2uqj58l8QTqHxRgbMHQ,california-burritos-san-diego,California Burritos,https://s3-media3.fl.yelpcdn.com/bphoto/5bcQ1Qb6fdzttubwi_dQiA/o.jpg,False,https://www.yelp.com/biz/california-burritos-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,888,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,['delivery'],+18585691600,(858) 569-1600,370.6358028129525,32.79333,-117.15598,7754 Starling Dr,,,San Diego,92123,US,CA,"['7754 Starling Dr', 'San Diego, CA 92123']",$
10,c2iFpIROV9OVK3wd24J0Tw,la-vecindad-neighborhood-tacos-san-diego-2,La Vecindad Neighborhood Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/Cm9oF29wlGv5Z3QaeYoUZQ/o.jpg,False,https://www.yelp.com/biz/la-vecindad-neighborhood-tacos-san-diego-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1093,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,['delivery'],+16195012885,(619) 501-2885,4819.13577936874,32.7476563,-117.1602513,3827 5th Ave,,,San Diego,92103,US,CA,"['3827 5th Ave', 'San Diego, CA 92103']",$$
11,EGj92CH6mWFiRvHB1zyMAw,lucha-libre-gourmet-taco-shop-san-diego,Lucha Libre Gourmet Taco Shop,https://s3-media4.fl.yelpcdn.com/bphoto/58q54BEr7a9JZFAwOoaBbQ/o.jpg,False,https://www.yelp.com/biz/lucha-libre-gourmet-taco-shop-san-diego?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,7985,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['delivery', 'pickup']",+16192968226,(619) 296-8226,5860.274607644788,32.743229,-117.181628,1810 W Washington St,,,San Diego,92103,US,CA,"['1810 W Washington St', 'San Diego, CA 92103']",$$
