,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,coordinates.latitude,coordinates.longitude,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address
0,Oz7Uch-u5Qf7i5BlriLhTg,caliente-bistro-kitchen-san-francisco,Caliente Bistro Kitchen,https://s3-media2.fl.yelpcdn.com/bphoto/LhH9mEo122yMklqF0B5jwA/o.jpg,False,https://www.yelp.com/biz/caliente-bistro-kitchen-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,63,"[{'alias': 'mexican', 'title': 'Mexican'}]",5.0,"['pickup', 'delivery']",$$,+14153796250,(415) 379-6250,3790.3553686710543,37.78101,-122.47126,4828 Geary Blvd,,,San Francisco,94118,US,CA,"['4828 Geary Blvd', 'San Francisco, CA 94118']"
1,SGRmnarrNuVEsAjYdEoA0w,el-farolito-san-francisco-2,El Farolito,https://s3-media2.fl.yelpcdn.com/bphoto/kYemXiMcYje-Da7AjPtWcg/o.jpg,False,https://www.yelp.com/biz/el-farolito-san-francisco-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,5078,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],$,+14158247877,(415) 824-7877,1845.9442151607977,37.75265,-122.41812,2779 Mission St,,,San Francisco,94110,US,CA,"['2779 Mission St', 'San Francisco, CA 94110']"
2,_EncdQezAzcShATMFXL0dA,tropisueño-san-francisco-10,Tropisueño,https://s3-media3.fl.yelpcdn.com/bphoto/Eghg_03Dm7jDk1ogDvIJRg/o.jpg,False,https://www.yelp.com/biz/tropisue%C3%B1o-san-francisco-10?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,4549,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tacos', 'title': 'Tacos'}]",4.0,"['delivery', 'restaurant_reservation']",$$,+14159852264,(415) 985-2264,3941.5902762189608,37.7853008468227,-122.403918653727,75 Yerba Buena Ln,,,San Francisco,94103,US,CA,"['75 Yerba Buena Ln', 'San Francisco, CA 94103']"
3,cx6y2D1Q77R6dEqMOvnL7g,underdogs-tres-san-francisco,Underdogs Tres,https://s3-media3.fl.yelpcdn.com/bphoto/rOZ6dGvv1_oQRtpLTINg0A/o.jpg,False,https://www.yelp.com/biz/underdogs-tres-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,2000,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.0,['delivery'],$$,+14155668700,(415) 566-8700,2671.8513531239973,37.7654341999958,-122.46629572944816,1224 9th Ave,,,San Francisco,94122,US,CA,"['1224 9th Ave', 'San Francisco, CA 94122']"
4,BiTX6BWh3u24HwcrsipI8w,taqueria-los-mayas-san-francisco,Taqueria Los Mayas,https://s3-media2.fl.yelpcdn.com/bphoto/FubroVzNvm5lsFGLOm2EvA/o.jpg,False,https://www.yelp.com/biz/taqueria-los-mayas-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,431,"[{'alias': 'tacos', 'title': 'Tacos'}, {'alias': 'newmexican', 'title': 'New Mexican Cuisine'}]",4.0,"['pickup', 'delivery']",$$,+14155482800,(415) 548-2800,3368.0984920588307,37.7828267189761,-122.462883666158,331 Clement St,,,San Francisco,94118,US,CA,"['331 Clement St', 'San Francisco, CA 94118']"
5,cqHQSWwItezUT0AryDH-4g,underdogs-too-san-francisco,Underdogs Too,https://s3-media1.fl.yelpcdn.com/bphoto/nizUaCWmQYyscniMP4xfmQ/o.jpg,False,https://www.yelp.com/biz/underdogs-too-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,287,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,['delivery'],$$,+14157598112,(415) 759-8112,6367.33013460145,37.74202,-122.5048,3600 Taraval St,,,San Francisco,94116,US,CA,"['3600 Taraval St', 'San Francisco, CA 94116']"
6,2nXYpojLdnIWkFW-Xe7B2A,padrecito-san-francisco,Padrecito,https://s3-media1.fl.yelpcdn.com/bphoto/br7EkWnevDWvNBQWvf1U8Q/o.jpg,False,https://www.yelp.com/biz/padrecito-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,992,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"['pickup', 'delivery']",$$,+14157425505,(415) 742-5505,1310.453997730548,37.7656775,-122.4500746,901 Cole St,,,San Francisco,94117,US,CA,"['901 Cole St', 'San Francisco, CA 94117']"
7,MNhRp6GhBiwCgGycyI6Mdw,cielito-lindo-san-francisco,Cielito Lindo,https://s3-media1.fl.yelpcdn.com/bphoto/nAZ-dTZMqpfar2OEslQKNQ/o.jpg,False,https://www.yelp.com/biz/cielito-lindo-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,182,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,[],$$,+14157420959,(415) 742-0959,5501.415120972062,37.7759231,-122.4957889,3450 Balboa St,,,San Francisco,94121,US,CA,"['3450 Balboa St', 'San Francisco, CA 94121']"
8,tKmqlKWOMMiU8pn0gLliXA,flores-san-francisco,Flores,https://s3-media3.fl.yelpcdn.com/bphoto/zcXf5H14-zautn9q2-XxHw/o.jpg,False,https://www.yelp.com/biz/flores-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,697,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['delivery', 'restaurant_reservation']",$$,+14157962926,(415) 796-2926,4096.825382245225,37.7976161048577,-122.432580590249,2030 Union St,,,San Francisco,94123,US,CA,"['2030 Union St', 'San Francisco, CA 94123']"
9,RmR0qyR0tCnGTFwmd5x0pg,sunset-cantina-san-francisco,Sunset Cantina,https://s3-media2.fl.yelpcdn.com/bphoto/K11dwTvyjdvJmT37zP2zaQ/o.jpg,False,https://www.yelp.com/biz/sunset-cantina-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,204,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,['delivery'],$$,+14155718874,(415) 571-8874,5481.29462617406,37.760974,-122.4988,3414 Judah St,,,San Francisco,94122,US,CA,"['3414 Judah St', 'San Francisco, CA 94122']"
10,voFE8DTKsTFi1Vzm_zzd0Q,don-pistos-san-francisco-2,Don Pistos,https://s3-media2.fl.yelpcdn.com/bphoto/tqKd3ieOr9mCTJ6z6xS-Pg/o.jpg,False,https://www.yelp.com/biz/don-pistos-san-francisco-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1899,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'tex-mex', 'title': 'Tex-Mex'}, {'alias': 'latin', 'title': 'Latin American'}]",4.0,"['pickup', 'delivery', 'restaurant_reservation']",$$,+14153950939,(415) 395-0939,5089.089100642661,37.800773,-122.407964,510 Union St,,,San Francisco,94133,US,CA,"['510 Union St', 'San Francisco, CA 94133']"
11,D26qBnudK_1pdo6AlvMlvQ,otra-san-francisco-3,Otra,https://s3-media1.fl.yelpcdn.com/bphoto/GARvNjf2fbdvR4oL4UiZWg/o.jpg,False,https://www.yelp.com/biz/otra-san-francisco-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,59,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.5,[],,+14155002774,(415) 500-2774,1253.8422059936656,37.771842,-122.433369,682 Haight St,,,San Francisco,94117,US,CA,"['682 Haight St', 'San Francisco, CA 94117']"
12,VKPA24jl5g19ESyA9tN8Vw,el-rancho-grande-san-francisco,El Rancho Grande,https://s3-media1.fl.yelpcdn.com/bphoto/aWiV6UNAL2Zk6K0QZpePrQ/o.jpg,False,https://www.yelp.com/biz/el-rancho-grande-san-francisco?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,405,"[{'alias': 'mexican', 'title': 'Mexican'}]",4.0,"['pickup', 'delivery']",$$,+14156738226,(415) 673-8226,1862.4459743133618,37.77752,-122.43859,855 Divisadero St,,,San Francisco,94117,US,CA,"['855 Divisadero St', 'San Francisco, CA 94117']"
