,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,price,phone,display_phone,distance,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address
0,zLViW6kDKNLIYsGkBCNorg,paesano-ristorante-italiano-san-jose,Paesano Ristorante Italiano,https://s3-media4.fl.yelpcdn.com/bphoto/0K_JiyyYtQDw1gw8xY2YWQ/o.jpg,False,https://www.yelp.com/biz/paesano-ristorante-italiano-san-jose?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1118,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,['delivery'],$$,+14082179327,(408) 217-9327,2497.5070746721076,37.336166540678,-121.89867135144,350 W Julian St,Ste 1,,San Jose,95110,US,CA,"['350 W Julian St', 'Ste 1', 'San Jose, CA 95110']"
1,5uc07F6ztscpuPTQdmUZsg,sorelle-italian-bistro-campbell,Sorelle Italian Bistro,https://s3-media2.fl.yelpcdn.com/bphoto/cV2yhMgT09rS0kl3uybO6A/o.jpg,False,https://www.yelp.com/biz/sorelle-italian-bistro-campbell?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,679,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,['delivery'],$$,+14083741800,(408) 374-1800,9022.283702165643,37.273802,-121.971816,915 S San Tomas Aquino Rd,,,Campbell,95008,US,CA,"['915 S San Tomas Aquino Rd', 'Campbell, CA 95008']"
2,1gUlwDbkVOz4xjaAjy4NDg,il-fornaio-santa-clara-2,Il Fornaio,https://s3-media3.fl.yelpcdn.com/bphoto/wCsESggGPDj4a3V2PkNzEA/o.jpg,False,https://www.yelp.com/biz/il-fornaio-santa-clara-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1524,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,"['pickup', 'delivery']",$$,+14082178844,(408) 217-8844,10857.761833229022,37.38105,-121.977215,2752 Augustine Dr,Ste 120,,Santa Clara,95054,US,CA,"['2752 Augustine Dr', 'Ste 120', 'Santa Clara, CA 95054']"
3,O0R8TkEE2eWDnp9xOOjHBQ,a-bellagio-italian-restaurant-campbell-2,A Bellagio Italian Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/31uCRR0rrvLniSiwwV75yg/o.jpg,False,https://www.yelp.com/biz/a-bellagio-italian-restaurant-campbell-2?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1045,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,['pickup'],$$,+14083707705,(408) 370-7705,6169.391903452878,37.2865477562745,-121.943798480214,33 S Central Ave,,,Campbell,95008,US,CA,"['33 S Central Ave', 'Campbell, CA 95008']"
4,Ahga5g0HufU_G7S1n8WL8g,trattoria-360-campbell,Trattoria 360,https://s3-media2.fl.yelpcdn.com/bphoto/WwmbBB3rWCr4VETievl1jw/o.jpg,False,https://www.yelp.com/biz/trattoria-360-campbell?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,335,"[{'alias': 'italian', 'title': 'Italian'}]",4.5,"['pickup', 'delivery']",,+14084298671,(408) 429-8671,6143.045148282393,37.286905,-121.943731616126,360 E Campbell Ave,,,Campbell,95008,US,CA,"['360 E Campbell Ave', 'Campbell, CA 95008']"
5,Q7OkRjnqIJmeZJHCnbnIcA,bertucellis-la-villa-san-jose,Bertucelli's La Villa,https://s3-media1.fl.yelpcdn.com/bphoto/B05XRqHtuEe4TRXYRqJH0g/o.jpg,False,https://www.yelp.com/biz/bertucellis-la-villa-san-jose?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,1171,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'italian', 'title': 'Italian'}]",4.5,['delivery'],$$,+14082957851,(408) 295-7851,1779.8327220681333,37.30458,-121.89858,1319 Lincoln Ave,,,San Jose,95125,US,CA,"['1319 Lincoln Ave', 'San Jose, CA 95125']"
6,4f8bHCUYwEn_6dLlQxZwGg,vitos-trattoria-san-jose,Vito's Trattoria,https://s3-media2.fl.yelpcdn.com/bphoto/JRWOuGoI8ktawLTAXXmMOA/o.jpg,False,https://www.yelp.com/biz/vitos-trattoria-san-jose?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,665,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.0,['delivery'],$$,+14084531000,(408) 453-1000,6085.432562002565,37.365367,-121.916016,90 Skyport Dr,,,San Jose,95110,US,CA,"['90 Skyport Dr', 'San Jose, CA 95110']"
7,01Ef5b0clhpv3RYuAR1HCw,vin-santo-ristorante-san-jose,Vin Santo Ristorante,https://s3-media3.fl.yelpcdn.com/bphoto/mvqKbpJKoA5ipSZWm-qKVQ/o.jpg,False,https://www.yelp.com/biz/vin-santo-ristorante-san-jose?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,693,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"['delivery', 'restaurant_reservation']",$$,+14089202508,(408) 920-2508,1742.3853224749619,37.304512408122,-121.89778667565,1346 Lincoln Ave,,,San Jose,95125,US,CA,"['1346 Lincoln Ave', 'San Jose, CA 95125']"
8,N7_ghbJDwMx_NrG43DlQZA,palermo-italian-restaurant-san-jose-3,Palermo Italian Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/-nkAqXU2OMusdn8j7cpW9Q/o.jpg,False,https://www.yelp.com/biz/palermo-italian-restaurant-san-jose-3?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,396,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'delis', 'title': 'Delis'}]",4.0,"['pickup', 'delivery']",$$,+14082956459,(408) 295-6459,1631.6712057564905,37.32184,-121.90239,791 Auzerais Ave,,,San Jose,95126,US,CA,"['791 Auzerais Ave', 'San Jose, CA 95126']"
9,806-vIK9uofrSqPmow0ySQ,maggianos-little-italy-san-jose,Maggiano's Little Italy,https://s3-media3.fl.yelpcdn.com/bphoto/7Gtq8o2GCGEH-27QiA0Llw/o.jpg,False,https://www.yelp.com/biz/maggianos-little-italy-san-jose?adjust_creative=gU53d0NQ84gmShYAF8mMUw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=gU53d0NQ84gmShYAF8mMUw,3858,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]",3.5,"['pickup', 'delivery']",$$,+14084238973,(408) 423-8973,5735.211863959074,37.320785118349,-121.949700120446,3055 Olin Ave,Ste 1000,,San Jose,95128,US,CA,"['3055 Olin Ave', 'Ste 1000', 'San Jose, CA 95128']"
